Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Gyro1_X,Gyro1_Y,Gyro1_Z,Gyro2_X,Gyro2_Y,Gyro2_Z,label
1612840,10.24,-0.88,-0.48,-2.51,0.65,8.26,-0.05,-0.03,0.03,-0.04,-0.01,-0.02,0
29446,4.96,-0.83,8.48,-7.58,-2.04,4.41,-0.04,-0.06,0.01,-0.05,0.0,-0.01,0
1294932,7.62,-0.83,6.35,-4.6,-1.5,7.32,-0.08,-0.02,0.01,-0.07,0.02,-0.02,1
92782,7.15,1.03,6.91,-8.03,-0.48,3.86,-0.06,-0.06,0.0,-0.02,0.03,-0.02,0
253964,8.0,-0.28,6.0,-5.4,-0.78,6.72,-0.04,-0.05,0.01,-0.04,0.02,-0.01,1
1558034,7.86,0.0,6.32,-6.23,-1.92,5.95,-0.03,-0.04,0.02,-0.06,0.01,-0.02,1
354246,8.94,-0.42,4.57,-7.84,-2.69,3.64,-0.06,-0.04,0.01,-0.05,0.01,-0.02,1
120796,4.56,3.12,7.83,-9.00,0.03,1.05,0.41,0.18,0.20,-0.49,-0.08,0.21,0
1253128,6.68,2.26,7.01,-8.41,0.72,3.36,-0.04,-0.04,0.0,-0.02,-0.06,-0.05,0
249498,7.4,4.17,5.2,-5.51,3.67,5.71,-0.01,-0.03,0.01,-0.05,-0.02,-0.02,0
592162,8.23,-0.63,5.74,-5.17,-0.75,6.98,-0.07,-0.04,0.01,-0.03,0.03,-0.03,1
617740,6.74,2.67,6.77,-6.18,1.44,5.94,-0.04,-0.03,0.0,-0.05,0.02,0.0,0
6710,6.95,-1.87,7.09,-6.27,-2.61,5.54,-0.07,-0.05,0.01,-0.04,0.01,-0.01,0
66798,9.64,-2.98,1.75,-0.4,-0.76,8.56,-0.03,-0.04,0.01,-0.04,0.02,0.0,0
1307126,5.04,-1.83,8.38,-6.84,-4.76,3.58,-0.05,-0.04,0.01,-0.08,0.08,0.02,0
363176,8.87,-1.1,4.66,-4.07,-0.8,7.59,-0.04,-0.04,0.0,-0.03,0.01,-0.01,1
150434,6.2,3.43,7.0,-9.45,-1.11,-0.67,-0.06,-0.06,0.0,-0.04,0.03,-0.01,0
621394,8.2,-0.78,5.82,-5.09,-0.86,6.84,-0.05,-0.04,0.01,-0.05,0.03,-0.01,1
1155268,7.3,1.28,6.52,-6.93,0.07,5.51,0.01,0.08,0.04,-0.29,-0.12,-0.14,0
828860,9.11,-0.47,4.34,-2.81,-0.27,8.16,-0.04,-0.03,0.0,-0.04,0.01,-0.02,1
1847106,4.49,1.99,8.55,-7.75,-1.63,4.23,-0.04,-0.03,0.0,-0.04,0.02,-0.02,0
542630,5.41,1.27,8.25,-6.38,-0.15,5.98,-0.05,-0.05,0.01,-0.03,0.02,-0.02,0
609214,8.25,-0.62,5.71,-5.23,-0.72,6.87,-0.01,-0.05,0.01,-0.05,0.03,0.03,1
1189792,9.23,-0.69,4.08,-3.9,-0.71,7.65,-0.04,-0.06,0.02,-0.05,0.02,-0.01,0
44874,10.15,-0.4,0.72,-2.34,1.98,8.07,-0.04,-0.06,0.0,-0.02,0.0,-0.02,0
247874,8.11,-0.37,5.94,-5.41,-0.75,6.76,-0.04,-0.03,0.01,-0.05,0.03,-0.02,1
2517408,7.57,-0.59,6.62,-6.27,-3.32,5.26,-0.05,-0.03,0.01,-0.05,0.02,-0.02,1
1080576,8.24,-1.15,5.7,-5.94,-1.15,6.34,-0.05,-0.04,0.01,-0.05,0.03,-0.01,1
2229960,9.27,-1.44,3.89,-3.05,-1.16,8.02,-0.05,-0.06,0.01,-0.02,-0.01,-0.02,0
345314,8.98,-0.35,4.71,-7.81,-2.68,3.6,-0.05,-0.04,0.01,-0.05,0.02,-0.01,1
998968,9.84,-0.64,2.39,0.37,3.93,7.81,-0.08,-0.05,0.01,-0.03,0.02,-0.03,1
1943328,8.47,-0.88,5.38,-5.14,-1.05,6.91,-0.01,-0.05,0.03,-0.05,-0.0,0.0,1
795974,8.9,-0.42,5.4,-5.16,-1.47,7.02,0.16,-0.13,0.03,-0.24,0.13,0.38,0
1526366,7.63,-0.23,6.68,-6.74,-2.38,5.14,-0.05,-0.05,0.02,-0.04,-0.01,-0.02,1
54618,10.24,-1.22,-0.01,0.4,3.66,7.91,-0.04,-0.04,0.01,-0.04,0.02,-0.02,0
242190,9.46,-0.3,3.6,-4.43,-1.12,7.24,-0.07,-0.02,-0.02,-0.02,0.01,-0.05,1
1234046,6.7,2.28,6.95,-8.34,0.62,3.46,-0.04,-0.06,0.0,-0.04,0.03,0.01,0
1073256,7.31,1.19,6.75,-5.93,-0.61,6.35,-0.11,-0.08,0.02,-0.02,0.02,-0.02,0
264520,8.03,-0.24,6.06,-5.46,-0.65,6.67,-0.04,-0.05,0.01,-0.04,0.01,-0.01,1
925888,8.82,-3.33,3.62,2.09,1.52,8.43,-0.23,0.04,-0.12,0.1,0.06,-0.21,0
882046,5.75,4.11,6.88,-7.86,2.05,3.9,-0.05,-0.05,0.0,-0.05,0.05,-0.01,0
1605532,9.96,-0.39,-2.66,-1.69,1.04,8.52,0.08,0.69,0.16,-0.15,0.1,-0.07,0
1075692,7.85,-0.42,6.2,-6.05,-0.56,6.1,-0.04,-0.04,0.0,-0.05,0.01,-0.02,0
996944,8.6,-0.45,5.2,-4.16,-1.89,7.35,-0.04,-0.05,0.01,-0.04,0.02,-0.01,1
1377756,7.66,-0.97,6.61,-4.7,-1.24,7.28,-0.04,-0.04,0.01,-0.02,-0.01,-0.01,1
300248,9.45,-0.28,3.79,-4.96,-1.15,7.02,-0.03,-0.05,0.01,-0.03,0.02,-0.01,1
267768,9.05,-0.51,4.68,-7.68,-2.81,3.75,-0.02,-0.06,-0.0,-0.05,0.03,0.01,1
87504,5.12,2.99,7.82,-6.81,0.09,5.49,-0.04,-0.03,0.01,-0.05,-0.03,-0.05,0
1765500,3.94,0.39,9.09,-8.23,-2.27,3.15,-0.04,-0.05,0.01,-0.04,0.02,-0.01,0
25386,6.94,-2.13,6.9,-6.15,-2.9,5.47,-0.06,-0.04,0.01,-0.04,0.01,-0.02,0
1449632,7.95,0.08,6.03,-6.36,-1.81,5.72,-0.04,-0.03,0.01,-0.05,0.02,-0.01,1
1814216,9.55,-1.77,3.13,-4.23,-0.79,7.43,-0.05,-0.05,0.01,-0.05,0.02,-0.02,1
